Code,Year,Sales,Bills
21889,2002,2368.72,5
21889,2003,719.2,5
21889,2004,1161.16,9
21889,2005,1726.08,8
21889,2006,1758.5599,10
21889,2007,2471.96,12
21889,2008,482.68,3
21891,1999,170056.0,2
21893,1999,4757839.0,12
21893,2000,8711350.0,17
21893,2001,2221653.8,15
21893,2002,22543.879,20
21893,2003,29200.44,27
21893,2004,67231.08,30
21893,2005,113673.29,34
21893,2006,73250.86,48
21893,2007,82702.89,60
21893,2008,90696.9,57
21893,2009,172676.84,88
21893,2010,93978.586,81
21893,2011,201896.48,89
21893,2012,92685.62,118
21893,2013,176045.27,97
21893,2014,50256.09,76
21893,2015,60868.598,80
21893,2016,28180.69,45
21893,2017,-7647.432,55
21893,2018,14435.3,15
21893,2019,20064.95,17
21893,2020,29277.16,17
21893,2021,20384.27,16
21893,2022,20707.94,12
21894,2006,214.6,1
21901,1999,228578.0,4
21901,2000,285128.0,3
21903,2006,1234.96,1
21903,2020,274.3,6
21903,2021,306.05,12
21903,2022,78.7,3
21907,1999,119988.0,4
21907,2003,0.0,2
21908,2001,34684.0,1
21915,2002,4820.96,3
21915,2004,9140.45,6
21915,2005,4046.54,6
21915,2006,13830.1,23
21915,2007,11486.06,25
21915,2008,10987.7295,11
21915,2009,1657.76,4
21915,2010,963.96,5
21915,2011,16033.84,2
21915,2012,825.22,1
21915,2015,7865.0,3
21915,2016,605.0,3
21915,2017,0.0,2
21930,2001,29696.0,1
21936,1999,4306343.0,15
21936,2000,12803293.0,17
21936,2001,14184408.0,29
21936,2002,4213.77,4
21936,2003,2575.2,6
21937,1999,108837.0,4
21937,2000,138040.0,2
21937,2002,139.2,1
21937,2003,290.0,2
21942,2004,481.4,1
21942,2006,371.2,1
21942,2007,371.2,1
21942,2008,394.4,1
21942,2009,406.23,1
21942,2010,-406.23,3
21942,2011,0.0046081543,2
21950,2020,255.3,6
21950,2021,352.15,14
21950,2022,70.45,3
21951,2006,348.0,1
21951,2010,34.46,1
21951,2011,95.58,2
21958,1999,18444.0,1
21958,2000,21924.0,1
21958,2001,257812.2,4
21959,2012,24.072,1
21960,1999,305175.0,12
21960,2000,13920.0,1
21960,2001,23200.0,2
21964,2012,53217.34,12
21964,2013,4598.0,1
21980,1999,22968.0,1
21981,2002,553.32,2
21986,2021,31092.16,5
21999,2002,58.0,1
21999,2003,191.4,1
21999,2004,2746.01,7
21999,2005,2470.0999,8
21999,2006,388.6,5
21999,2007,215.76,2
21999,2008,379.03,7
21999,2009,241.35,1
21999,2010,382.81,3
22013,1999,2866095.0,18
22013,2000,2101266.0,19
22013,2001,6568297.0,21
22020,1999,3784253.0,45
